web-scraper-order,web-scraper-start-url,idName,idName-href,name,image-src,candidateConnection,contactLinks1,contactLinks1-href,contactLinks2,contactLinks2-href,contactLinks3,contactLinks3-href,contactLinks4,contactLinks4-href,contactLinks5,contactLinks5-href,contactLinks6,contactLinks6-href,campaignWebsite
"1587945035-353","https://thegoodparty.org/scrape/candidates?onlyNoData=true","705|Asha Castleberry Hernandez||House","https://ballotpedia.org/Asha_Castleberry-Hernandez","Asha Castleberry-Hernandez","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Asha_Castleberry-Hernandez.jpg","null","Campaign website","https://www.ashaforcongress.com/","Campaign Facebook","https://www.facebook.com/VoteAsha/","Campaign Twitter","https://www.twitter.com/ashacastleberry","Personal Facebook","https://www.facebook.com/asha.castleberry.7","null","","null","","null"
"1587945320-408","https://thegoodparty.org/scrape/candidates?onlyNoData=true","812|Jenny Bell||House","https://ballotpedia.org/Jennifer_Bell","Jennifer Bell","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","<div class=""survey-result"">
				<p class=""survey-question"">Who are you? Tell us about yourself in 300 words or less.</p>
				<p class=""survey-response"">I am a Nurse Practitioner who works at one of Ohio's largest integrative community &amp; mental health service providers, serving some of the most vulnerable populations in our community. I am very proud of the work that I do everyday because I am doing what I was meant to do - fighting for those who need someone to fight for them. My love for being a patient advocate is what keeps me smiling all day at work.

But I feel that those who need an advocate like me has grown, and I have the will, the education, and the courage to be an advocate in a much bigger way. This is why I am running for Congress. 

I know we can DO BETTER WITH HEALTH CARE, JOBS, and HOUSING through compassion, courage, and true democracy in Ohio's 12th District. Others will tell you what you want to hear, I will tell you what you need to hear. </p>
			</div>
						    <div class=""survey-result"">
				<p class=""survey-question"">Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?</p>
				<ul class=""key-messages"">
					<li>I am a Nurse Practitioner that believes that we can do better with health care, jobs, and housing through compassion, courage, and true democracy in Ohio's 12th District.</li>
					<li>I became a nurse in order to advocate for patients and others in need. The best way for me to help today, is to fix the health care system.</li>
					<li>I will not be beholden to a political party, corporation, lobby, or PAC because I only accept donations from individuals. I am a worker, not a politician, not a business owner. Ohioans need a real representative of the people in Washington.</li>
				</ul>
			</div>
							<div class=""survey-result"">
				<p class=""survey-question"">What areas of public policy are you personally passionate about?</p>
				<p class=""survey-response"">The dysfunctional healthcare system in America affects more Ohioans than any other issue. Nothing else even comes close. The current system of private insurance, large for-profit healthcare systems, and massive drug companies is dangerous, unethical, and cruel. These industries have been working together for decades to inflate costs, evolving into a monster whose sole purpose is to take in as much profit as possible. This has left Ohio families just inches from crippling financial hardships and in many cases, quite literally, death.

We live in the greatest country in the world. There is no excuse for a person to have to choose between feeding their children and paying for inflated medical bills.

No Ohioan should worry about the cost of a co-pay, an insurance premium, or the price of a medication. No Ohioan should delay care due to cost. Current leaders tell us that universal healthcare is not financially possible. They try to frighten us by saying we cannot have excellent healthcare and provide care for all. This is SIMPLY NOT TRUE. 

I will protect affordable housing for Ohio's families. I will fight for Ohioans' right to a living wage. I will work to bring new, forward-thinking industry to Ohio. We will create jobs by targeting workforce development, prioritizing  industry that looks towards the future (like green energy), and encouraging organized labor to champion competitive wages and benefits. I will lead the charge for campaign finance reform.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What characteristics or principles are most important for an elected official?</p>
				<p class=""survey-response"">honesty, integrity, compassion, and respect for the Constitution</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What is the first historical event that happened in your lifetime that you remember? How old were you at the time?</p>
				<p class=""survey-response"">I remember the Space Shuttle Challenger exploding in 1986. I was watching Sesame Street and my mom rushed into the room to turn the channel to the news. I remember the presidential race in 1988 - specifically Jesse Jackson speaking at the Democratic National Convention. I also remember the Berlin wall coming down in 1989, and the Russians staging a coup in the early 1990s.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What was your very first job? How long did you have it?</p>
				<p class=""survey-response"">As soon as I turned 16, I got two jobs. After school, I would do graphic design for a local printing company. On the weekends, I worked at a video rental store. I have never NOT worked.</p>
			</div>","Campaign website","https://jennybell2020.us/","Campaign Facebook","https://www.facebook.com/JENNYBELL2020/","Campaign Twitter","https://www.twitter.com/jennybell2020","null","","null","","null","","null"
"1587945029-352","https://thegoodparty.org/scrape/candidates?onlyNoData=true","714|Rikin Mehta||Senate","https://ballotpedia.org/Rik_Mehta","Rik Mehta","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Rik_Mehta.jpeg","null","Campaign website","https://rikfornj.com/","Campaign Facebook","https://www.facebook.com/RikMehtaForNewJersey/","Campaign Twitter","https://www.twitter.com/RikMehta_NJ","Personal Facebook","https://www.facebook.com/rikin.mehta.35","null","","null","","null"
"1587945369-418","https://thegoodparty.org/scrape/candidates?onlyNoData=true","427|Clinton Wesley Morgan||Senate","https://ballotpedia.org/C._Wesley_Morgan","C. Wesley Morgan","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/C_Wesley_Morgan.jpg","null","Campaign website","https://wesleymorganforsenate.com/","Campaign Facebook","https://www.facebook.com/pg/MorganForSenate2020/","Campaign Twitter","https://www.twitter.com/cwesleymorgan","Personal Facebook","https://www.facebook.com/wesley.morgan.568","null","","null","","null"
"1587945299-404","https://thegoodparty.org/scrape/candidates?onlyNoData=true","42|Bob Patterson||House","https://ballotpedia.org/Bob_Patterson_(New_Jersey)","Bob Patterson (New Jersey)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Bob_Patterson.png","null","Campaign website","https://bobpattersonforcongress.com/","Campaign Facebook","https://www.facebook.com/BobPattersonSJ","Campaign Twitter","https://www.twitter.com/BobPattersonSJ","Personal Facebook","https://www.facebook.com/bob.patterson.927","null","","null","","<ul><li><b>Rebuild South Jersey</b>: For more than 50 years, our political representatives have neglected South Jersey. It’s time to make South Jersey great again by making South Jersey a manufacturing powerhouse. We can bring modern manufacturing and other high-wage jobs to South Jersey by investing in new construction, defense-related industries, and medical-research projects. </li></ul>
<ul><li><b>Protect American Jobs and Revive the American Dream</b>: Washington politicians are in cahoots with Wall Street. Too many politicians support unbalanced trade deals that hurt middle-income workers and ship good-paying American jobs overseas. They also embrace immigration policies that have flooded the U.S. labor market with foreigners, robbing American workers.</li></ul>
<ul><li><b>Secure America’s Borders</b>: It’s also time to make sure jobs in America go to American workers, not refugees flooding our country through porous and insecure borders. Bob supports building a wall along America’s southern border, creating a foolproof entry-and-exit system, and establishing an airtight employment-verification system.</li></ul>
<ul><li><b>Put Main Street Ahead of Wall Street</b>: Washington politicians throw taxpayer money at Wall Street and well-connected lobbyists. It’s time to stop corporate welfare and start supporting America’s vital economic sectors that will help the working and middle classes.</li></ul>
<ul><li><b>Improve American Health through Cures</b>: Bob supports universal health-care coverage for all American citizens, but also believes we have to focus on lowering health-care costs. We can do that by investing resources in finding cures for cancer, Alzheimer's, and diabetes. We can achieve affordable care and actually improve lives by beating, rather than simply treating, these debilitating diseases. Bob had called for transforming the South Jersey-Philadelphia region into a medical-research enterprise zone that fast-tracks the discovery of cures and vaccines for these diseases.</li></ul>
<p><sup id=""cite_ref-quotedisclaimer_4-0"" class=""reference""><a href=""#cite_note-quotedisclaimer-4"">[4]</a></sup>
</p>"
"1587945395-423","https://thegoodparty.org/scrape/candidates?onlyNoData=true","244|Matt Hahn||House","https://ballotpedia.org/Matthew_Hahn","Matthew Hahn","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","null","Campaign website","https://www.matt-hahnforcongress.com/","Campaign Facebook","https://www.facebook.com/MattHahn4Congress/","Personal Facebook","https://www.facebook.com/matthew.hahn.77","null","","null","","null","","null"
"1587945344-413","https://thegoodparty.org/scrape/candidates?onlyNoData=true","746|Elizabeth Felton||House","https://ballotpedia.org/Liz_Felton","Liz Felton","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/80182230_74680704_10221649745095580_719228312785780736_n.jpg","<div class=""survey-result"">
				<p class=""survey-question"">Who are you? Tell us about yourself in 300 words or less.</p>
				<p class=""survey-response"">I have lived through a variety of economic circumstances including abundance and resorting to looking under the couch cushions for lost change. I have been without a home although I am grateful to have never slept without a roof over my head. I am able to empathize with someone who has little to nothing as well as someone who has worked very hard, succeeded, and feels they are having what they've earned picked apart for politicians to spend on things that don't agree with. I don't want to spend my life in politics. I would however like to get in, effect some change and ""vote myself out"" with term limits. I don't know everything but I can learn anything. I'm a critical thinker who does not believe that a strong stance on one position solidifies a stance on all others. I have a great deal of respect for personal freedoms and personal belief systems and support people to express both so long as that expression does not squash the rights of others. I am happy to engage in an exchange of ideas with people who hold different views than I and have on occasion changed my own views because I openly listened and saw something from a different perspective. I am not a polished politician. </p>
			</div>
						    <div class=""survey-result"">
				<p class=""survey-question"">Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?</p>
				<ul class=""key-messages"">
					<li>Protecting your property rights and personal freedom.</li>
					<li>Advocate for smaller government.</li>
					<li>Advocate for"" animal welfare, not animal rights.""</li>
				</ul>
			</div>
							<div class=""survey-result"">
				<p class=""survey-question"">What areas of public policy are you personally passionate about?</p>
				<p class=""survey-response"">I'm interested in helping achieve less government interference, protection of property rights and personal freedom.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What qualities do you possess that you believe would make you a successful officeholder?</p>
				<p class=""survey-response"">I am running to serve as a public servant. I am not looking for a long term political career.</p>
			</div>","Campaign website","http://electelizabethfelton.com/","Campaign Facebook","https://www.facebook.com/electelizabethfelton/","null","","null","","null","","null","","null"
"1587945348-414","https://thegoodparty.org/scrape/candidates?onlyNoData=true","719|Matt Hook||House","https://ballotpedia.org/Matthew_Hook","Matthew Hook","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/matthook.jpg","<div class=""survey-result"">
				<p class=""survey-question"">Who are you? Tell us about yourself in 300 words or less.</p>
				<p class=""survey-response"">I am a former CPA, Attorney and Senior Partner in a Private Equity Firm.  I decided to run for office because of my concerns for the fiscal and environmental problems we are leaving future generations.  Specifically, my concerns are $1,000,000,000,000 annual deficits, insolvency facing Medicare and Social Security and the devastation caused by climate change.  These are all major problems facing the country as spelled out on various governmental websites.  However, nobody seems to be discussing them for fear of losing their job or because of the special interest groups they truly represent.  I personally believe it is unconscionable and think future generations deserve better.</p>
			</div>
						    <div class=""survey-result"">
				<p class=""survey-question"">Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?</p>
				<ul class=""key-messages"">
					<li>Pass legislation to address climate change.</li>
					<li>Raise taxes to address our national debt and $1 trillion annual deficits.</li>
					<li>Fix Medicare and Social Security which are facing insolvency.</li>
				</ul>
			</div>
							<div class=""survey-result"">
				<p class=""survey-question"">What areas of public policy are you personally passionate about?</p>
				<p class=""survey-response"">An inhabitable earth and a fiscally healthy country.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What areas of public policy are you personally passionate about?</p>
				<p class=""survey-response"">An inhabitable earth and a fiscally healthy country.  </p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Who do you look up to? Whose example would you like to follow, and why?</p>
				<p class=""survey-response"">George H. W. Bush because he spent his life serving our country and was willing to sacrifice for it regardless of the cost to himself.  As a young man, I could not understand why after freeing Kuwait form Iraq's invasion so easily, he decided not to go into Baghdad when he had the world behind him and could have easily done it.  However, he had the self-confidence of a war hero who had nothing to prove and understood the Middle East well enough to know the disaster and  quagmire it would be.  Twenty-five years later history is now beginning to understand his great insight and wisdom in that decision.  He then went on to take unpopular stands to address acid rain and set the United States on a path to $300 billion surpluses.   I will always regret our country did not understand how fortunate we were to have him at the time.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Who do you look up to? Whose example would you like to follow, and why?</p>
				<p class=""survey-response"">George H. W. Bush because he spent his life serving our country and was willing to sacrifice for it regardless of the cost to himself.  As a young man, I could not understand why after freeing Kuwait form Iraq's invasion so easily, he decided not to go into Baghdad when he had the world behind him and could have easily done it.  However, he had the self-confidence of a war hero who had nothing to prove and understood the Middle East well enough to know the disaster and  quagmire it would be.  Twenty-five years later history is now beginning to understand his great insight and wisdom in that decision.  He then went on to take unpopular stands to address acid rain and set the United States on a path to $300 billion surpluses.   I will always regret our country did not understand how fortunate we were to have him at the time.  </p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Is there a book, essay, film, or something else you would recommend to someone who wants to understand your political philosophy?</p>
				<p class=""survey-response"">A book that speaks more to my concern than  political philosophy is Mortal Republic - Rome's Fall Into Tyranny which is about Romes leaders who used their offices for personal gain  and  disregarded  the institutions and customs which made Rome great, ultimately leading to the downfall of Rome.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Is there a book, essay, film, or something else you would recommend to someone who wants to understand your political philosophy?</p>
				<p class=""survey-response"">A book that speaks more to my concern than  political philosophy is Mortal Republic - Rome's Fall Into Tyranny which is about Romes leaders who used their offices for personal gain  and  disregarded  the institutions and customs which made Rome great, ultimately leading to the downfall of Rome. </p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What characteristics or principles are most important for an elected official?</p>
				<p class=""survey-response"">Not taking money from special interest groups and doing the right thing as apposed to worrying about staying in office.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What characteristics or principles are most important for an elected official?</p>
				<p class=""survey-response"">Not taking money from special interest groups and doing the right thing as apposed to worrying about staying in office.    </p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What qualities do you possess that you believe would make you a successful officeholder?</p>
				<p class=""survey-response"">I am analytical and independent minded.  In addition, I have a high degree of integrity and no interest in working for anyone else in the future.  As such, I  will only look after the best interest of my constituents, future generations and the country.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What qualities do you possess that you believe would make you a successful officeholder?</p>
				<p class=""survey-response"">I am analytical and independent minded.  In addition, I have a high degree of integrity and no interest in working for anyone else in the future.  As such, I  will only look after the best interest of my constituents, future generations and the country.  </p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What do you believe are the core responsibilities for someone elected to this office?</p>
				<p class=""survey-response"">Represent the people  and future generations as opposed to the special interest groups.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What do you believe are the core responsibilities for someone elected to this office?</p>
				<p class=""survey-response"">Represent the people  and future generations as opposed to the special interest groups. </p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What legacy would you like to leave?</p>
				<p class=""survey-response"">A livable planet and a country that is not only militarily strong but financially strong as well.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What is the first historical event that happened in your lifetime that you remember? How old were you at the time?</p>
				<p class=""survey-response"">The first historical event I remember was the funeral of JFK.  I was five years old and was staying at a family friends because my mother was in the hospital after delivery a child the day before.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What is the first historical event that happened in your lifetime that you remember? How old were you at the time?</p>
				<p class=""survey-response"">The first historical event I remember was the funeral of JFK.  I was five years old and was staying at a family friends because my mother was in the hospital after delivery a child the day before.  </p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What was your very first job? How long did you have it?</p>
				<p class=""survey-response"">Multiple paper routes from 6th grade through high school.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What was your very first job? How long did you have it?</p>
				<p class=""survey-response"">Multiple paper routes from 6th grade through high school.  </p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What is your favorite book? Why?</p>
				<p class=""survey-response"">I don't have a favorite anything especially books because there are just too many great ones that have such different insights.   However, one I really enjoyed last year was  Einstein's Monsters; The Life and Times of Black Holes.  I enjoyed it because I love learning about the mysteries of the universe and the amazing things scientist are figuring out about it.  However, I freely acknowledge there was much of it I did not understand.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What is your favorite book? Why?</p>
				<p class=""survey-response"">I don't have a favorite anything especially books because there are just too many great ones that have such different insights.   However, one I really enjoyed last year was  Einstein's Monsters; The Life and Times of Black Holes.  I enjoyed it because I love learning about the mysteries of the universe and the amazing things scientist are figuring out about it.  However, I freely acknowledge there was much of it I did not understand.   </p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">If you could be any fictional character, who would you want to be?</p>
				<p class=""survey-response"">Superman -- great powers and fought for justice.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What was the last song that got stuck in your head?</p>
				<p class=""survey-response"">Breaking My Stride -- Matthew Wilder</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What is something that has been a struggle in your life?</p>
				<p class=""survey-response"">I have spent too much time worrying about not being good enough and not speaking up for injustice.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What qualities does the U.S. House of Representatives possess that makes it unique as an institution?</p>
				<p class=""survey-response"">It is an institution made up of 435 voting members who are working to represent the hopes and dreams of 330 million people while being inundated by unknown amounts of money and  lobbyist representing  every possible special interest but the individuals who put them in office in the first place.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What qualities does the U.S. House of Representatives possess that makes it unique as an institution?</p>
				<p class=""survey-response"">It is an institution made up of 435 voting members who are working to represent the hopes and dreams of 330 million people while being inundated by unknown amounts of money and  lobbyist representing  every possible special interest but the individuals who put them in office in the first place.  </p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Do you believe that it's beneficial for representatives to have previous experience in government or politics?</p>
				<p class=""survey-response"">Given congresses 27% approval rating and the fact that they are afraid to make tough decisions for fear of losing their seat, I would definitely say NO.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Do you believe that it's beneficial for representatives to have previous experience in government or politics?</p>
				<p class=""survey-response"">Given congresses 27% approval rating and the fact that they are afraid to make tough decisions for fear of losing their seat, I would definitely say NO. </p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What do you perceive to be the United States’ greatest challenges as a nation over the next decade?</p>
				<p class=""survey-response"">Addressing the divisiveness within our society and our failure to listen to each other.   This problem is exacerbated by our desire to  consume media that reinforces our confirmation bias rather than trying to understand the various points of view.   A close second is crony capitalism.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What do you perceive to be the United States’ greatest challenges as a nation over the next decade?</p>
				<p class=""survey-response"">Addressing the divisiveness within our society and our failure to listen to each other.   This problem is exacerbated by our desire to  consume media that reinforces our confirmation bias rather than trying to understand the various points of view.   A close second is crony capitalism.  </p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">If you are not a current representative, are there certain committees that you would want to be a part of?</p>
				<p class=""survey-response"">Ways and Means,  Budget and Oversight and Government Reform</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">If you are not a current representative, are there certain committees that you would want to be a part of?</p>
				<p class=""survey-response"">Ways and Means,  Budget and Oversight and Government Reform </p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">If you are a current representative, why did you join your current committees?</p>
				<p class=""survey-response"">N/A</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Do you believe that two years is the right term length for representatives?</p>
				<p class=""survey-response"">Yes</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What are your thoughts on term limits?</p>
				<p class=""survey-response"">I would support them but would also note their constituents can enforce them every two years if they don't think their Representative is doing a good job.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What are your thoughts on term limits?</p>
				<p class=""survey-response"">I would support them but would also note their constituents can enforce them every two years if they don't think their Representative is doing a good job.  </p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">If you are not currently a member of your party’s leadership in the U.S. House of Representatives, would you be interested in joining the leadership? If so, in what role?</p>
				<p class=""survey-response"">No</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Is there a particular representative, past or present, whom you want to model yourself after?</p>
				<p class=""survey-response"">No</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Both sitting representatives and candidates for office hear many personal stories from the residents of their district. Is there a story that you’ve heard that you found particularly touching, memorable, or impactful?</p>
				<p class=""survey-response"">When talking to a group of young adults in their mid 20s, they explained how they understood we were leaving them a fiscal mess and that they would just need to be wise and save more.  However, they couldn't believe we were denying climate change and doing absolutely nothing about it.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Both sitting representatives and candidates for office hear many personal stories from the residents of their district. Is there a story that you’ve heard that you found particularly touching, memorable, or impactful?</p>
				<p class=""survey-response"">When talking to a group of young adults in their mid 20s, they explained how they understood we were leaving them a fiscal mess and that they would just need to be wise and save more.  However, they couldn't believe we were denying climate change and doing absolutely nothing about it.  </p>
			</div>","Campaign website","https://www.votethefuturenow.com/","Campaign Facebook","https://www.facebook.com/VoteFutureNow/","Campaign Twitter","https://www.twitter.com/VotefutureNOW","Personal Facebook","https://www.facebook.com/matthew.hook.735","null","","null","","null"
"1587945442-429","https://thegoodparty.org/scrape/candidates?onlyNoData=true","293|James P McGovern|incumbent|House","https://ballotpedia.org/Jim_McGovern","Jim McGovern","","null","null","","null","","null","","null","","null","","null","","null"
"1587945203-385","https://thegoodparty.org/scrape/candidates?onlyNoData=true","254|Japheth Matemu||House","https://ballotpedia.org/Jeff_Matemu","Jeff Matemu","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/A75410E3-2BE9-45F3-9B60-EC32F6C69286.jpeg","<div class=""survey-result"">
				<p class=""survey-question"">What would be your top three priorities, if elected?</p>
				<p class=""survey-response"">1. Criminal justice reform
2. Student debt reduction
3. Immigration solutions</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What areas of public policy are you personally passionate about?</p>
				<p class=""survey-response"">I'm very concerned about the ballooning federal debt.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Who do you look up to? Whose example would you like to follow, and why?</p>
				<p class=""survey-response"">Abraham Lincoln</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What characteristics or principles are most important for an elected official?</p>
				<p class=""survey-response"">Honesty, integrity, independence and a passion for service.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What qualities do you possess that you believe would make you a successful officeholder?</p>
				<p class=""survey-response"">I have fought for the middle class all my life representing them in federal courts in all type of issues. Discrimination, children's rights, immigration and criminal justice.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What do you believe are the core responsibilities for someone elected to this office?</p>
				<p class=""survey-response"">Faithfully represent those who elected him/her and uphold the constitution.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What legacy would you like to leave?</p>
				<p class=""survey-response"">A leader that respected and defended  the rights of all the people all the time.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What is the first historical event that happened in your lifetime that you remember? How old were you at the time?</p>
				<p class=""survey-response"">When the twin towers came down on 9-11.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What was your very first job? How long did you have it?</p>
				<p class=""survey-response"">My first job was  teacher. I was teaching the French language to a high school class. I was 21.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What happened on your most awkward date?</p>
				<p class=""survey-response"">I had nothing to say and she kept saying so many things that I could not relate to.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What is your favorite holiday? Why?</p>
				<p class=""survey-response"">River cruise. I love the outdoors and lots of water.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What is your favorite book? Why?</p>
				<p class=""survey-response"">The Alchemist by Paolo Coelho. A wonderful perspective on what love is/should be.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">If you could be any fictional character, who would you want to be?</p>
				<p class=""survey-response"">Randle Patrick McMurphy. One flew over the cuckoos nest.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What is your favorite thing in your home or apartment? Why?</p>
				<p class=""survey-response"">Pictures of my kids. They are the world for me.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What was the last song that got stuck in your head?</p>
				<p class=""survey-response"">Hero. Mariah Carey.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What is something that has been a struggle in your life?</p>
				<p class=""survey-response"">Sticking to regular workouts.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What qualities does the U.S. House of Representatives possess that makes it unique as an institution?</p>
				<p class=""survey-response"">The diversity of its members</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Do you believe that it's beneficial for representatives to have previous experience in government or politics?</p>
				<p class=""survey-response"">No</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What do you perceive to be the United States’ greatest challenges as a nation over the next decade?</p>
				<p class=""survey-response"">Gerrymandering by any political party. That undermines democracy.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">If you are not a current representative, are there certain committees that you would want to be a part of?</p>
				<p class=""survey-response"">Ways and means.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Do you believe that two years is the right term length for representatives?</p>
				<p class=""survey-response"">I am for term limits. 2 for four years each.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What are your thoughts on term limits?</p>
				<p class=""survey-response"">We should absolutely have term limits. It's not beneficial to have congressmen serving 50 years.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">What process do you favor for redistricting?</p>
				<p class=""survey-response"">Independent, non partisan commissions.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">If you are not currently a member of your party’s leadership in the U.S. House of Representatives, would you be interested in joining the leadership? If so, in what role?</p>
				<p class=""survey-response"">Yes.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Is there a particular representative, past or present, whom you want to model yourself after?</p>
				<p class=""survey-response"">Ron Paul.</p>
			</div>
					<div class=""survey-result"">
				<p class=""survey-question"">Both sitting representatives and candidates for office hear many personal stories from the residents of their district. Is there a story that you’ve heard that you found particularly touching, memorable, or impactful?</p>
				<p class=""survey-response"">Yes. A teacher for special needs children from Fuller Elementary school in Raleigh. I was touched by how much teachers with few resources sacrifice for their students.</p>
			</div>","Campaign website","https://jeffmatemu.com/","Campaign Facebook","https://www.facebook.com/JeffNc2/","Personal website","http://matemulawnyc.com/about-matemu-law/","Personal Facebook","https://www.facebook.com/jeff4NC2","Personal Twitter","https://www.twitter.com/JeffNc2","null","","<b>What is your political philosophy?</b>
<p>All laws should point towards liberty and justice for all people all the time. 
</p><p><b>Is there anything you would like to add?</b>
</p><p>I focus on people, not politics.<sup id=""cite_ref-quotedisclaimer_3-0"" class=""reference""><a href=""#cite_note-quotedisclaimer-3"">[3]</a></sup>
</p>"
