web-scraper-order,web-scraper-start-url,idName,idName-href,nameState,nameState-href,image-src,name,candidateConnection,contactLinks1,contactLinks1-href,contactLinks2,contactLinks2-href,contactLinks3,contactLinks3-href,contactLinks4,contactLinks4-href,contactLinks5,contactLinks5-href,contactLinks6,contactLinks6-href,district,state
"1585448984-1222","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1644|Ben Ray Lujan||Senate","https://ballotpedia.org/Ben_Lujan","Ben Lujan, Sr., New Mexico Congressman","https://ballotpedia.org/Ben_Lujan,_Sr.","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/BLujan.jpg","Ben Lujan, Sr.","null","null","","null","","null","","null","","null","","null","","null","New Mexico"
"1585448942-1219","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","2014|Jack Ballard||Senate","https://ballotpedia.org/Jack_Ballard","Jack Ballard (Montana)","https://ballotpedia.org/Jack_Ballard_(Montana)","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","Jack Ballard (Montana)","null","null","","null","","null","","null","","null","","null","","null","Montana"
"1585449299-1256","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1913|Lee Murphy||House","https://ballotpedia.org/Lee_Murphy","Lee Murphy (Kentucky)","https://ballotpedia.org/Lee_Murphy_(Kentucky)","","Lee Murphy (Kentucky)","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449453-1278","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1373|Scott Smith||House","https://ballotpedia.org/Scott_Smith","Scott Smith (Texas)","https://ballotpedia.org/Scott_Smith_(Texas)","","Scott Smith (Texas)","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449706-1316","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","373|Don Beyer|incumbent|House","https://ballotpedia.org/Don_Beyer","Official website","https://beyer.house.gov/","","null","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449228-1249","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","2036|Michael Hepburn||House","https://ballotpedia.org/Michael_Hepburn","Michael Hepburn (Florida congressional candidate)","https://ballotpedia.org/Michael_Hepburn_(Florida_congressional_candidate)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Michael_A._Hepburn.jpg","Michael Hepburn (Florida congressional candidate)","null","Campaign website","https://michaelhepburn.com/","Campaign Facebook","http://www.facebook.com/VoteHepburn","Campaign Twitter","https://www.twitter.com/votehepburn","Personal Facebook","https://www.facebook.com/michael.a.hepburn","null","","null","","null","Florida"
"1585449748-1322","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","102|Don Young|incumbent|House","https://ballotpedia.org/Don_Young","Don Young (Alaska)","https://ballotpedia.org/Don_Young_(Alaska)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Don_Young.jpg","Don Young (Alaska)","null","Official website","https://donyoung.house.gov/","Official Facebook","https://www.facebook.com/RepDonYoung/","Official Twitter","https://www.twitter.com/RepDonYoung","Campaign website","http://alaskansfordonyoung.com/","Campaign Facebook","http://www.facebook.com/AkforDonYoung","Campaign Facebook","http://www.facebook.com/AkforDonYoung","Candidate, U.S. House Alaska At-large District","Alaska"
"1585449715-1318","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","373|Don Beyer|incumbent|House","https://ballotpedia.org/Don_Beyer","Virginia's 8th Congressional District","https://ballotpedia.org/Virginia%27s_8th_Congressional_District","","Virginia's 8th Congressional District","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449078-1231","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1503|Tim Johnson||House","https://ballotpedia.org/Tim_Johnson","Timothy Johnson (Montana)","https://ballotpedia.org/Timothy_Johnson_(Montana)","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","Timothy Johnson (Montana)","null","Campaign website","https://www.timjohnsonformontana.com/","Campaign Facebook","https://www.facebook.com/TJ4MT/","Campaign Twitter","https://www.twitter.com/TJ4MT","null","","null","","null","","null","Montana"
"1585449109-1237","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1410|Brian W Jones||House","https://ballotpedia.org/Brian_Jones","Brian Jones (California)","https://ballotpedia.org/Brian_Jones_(California)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Brian_Jones-1.jpg","Brian Jones (California)","null","Official Twitter","https://www.twitter.com/SenBrianJones","Campaign website","http://www.electbrianjones.com/","Campaign Facebook","https://www.facebook.com/BrianJonesCA/","Campaign Twitter","https://www.twitter.com/electbrianjones","null","","null","","California State Senate District 38","California"
"1585449247-1251","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1935|Leslie Grant||House","https://ballotpedia.org/Leslie_Grant","Leslie Grant (Georgia)","https://ballotpedia.org/Leslie_Grant_(Georgia)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Leslie_Grant.png","Leslie Grant (Georgia)","null","Personal website","http://www.electlesliegrant17.com/home","null","","null","","null","","null","","null","","null","Georgia"
"1585449608-1302","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","367|Dan Sullivan|incumbent|Senate","https://ballotpedia.org/Dan_Sullivan","Alaska","https://ballotpedia.org/Alaska","","Alaska","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449334-1261","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","2034|James Kennedy||House","https://ballotpedia.org/James_Kennedy","James D. Kennedy (Former Arkansas Judge)","https://ballotpedia.org/James_D._Kennedy","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","James D. Kennedy","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449428-1273","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1244|Robert Marshall||Senate","https://ballotpedia.org/Robert_Marshall","Robert Marshall (Delaware)","https://ballotpedia.org/Robert_Marshall_(Delaware)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Robert_marshall.jpg","Robert Marshall (Delaware)","null","null","","null","","null","","null","","null","","null","","Compensation","Delaware"
"1585449719-1319","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","373|Don Beyer|incumbent|House","https://ballotpedia.org/Don_Beyer","Virginia's 8th Congressional District elections, 2014","https://ballotpedia.org/Virginia%27s_8th_Congressional_District_elections,_2014","","Virginia's 8th Congressional District elections, 2014","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449435-1274","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1609|Wesley Hunt||House","https://ballotpedia.org/Wesley_Hunt","Wesley Hunt (Congressional candidate, Texas)","https://ballotpedia.org/Wesley_Hunt_(Congressional_candidate,_Texas)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/56158044_1107974156071853_5853134491291222016_n.png","Wesley Hunt (Congressional candidate, Texas)","null","Campaign website","https://wesleyfortexas.com/","Campaign Facebook","https://www.facebook.com/WesleyHuntTX","Campaign Twitter","https://www.twitter.com/WesleyHuntTX","null","","null","","null","","Candidate, U.S. House Texas District 7","Texas"
"1585449186-1243","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1160|Antonio Delgado||House","https://ballotpedia.org/Antonio_Delgado","C. Antonio Delgado (California)","https://ballotpedia.org/C._Antonio_Delgado_(California)","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","C. Antonio Delgado (California)","null","null","","null","","null","","null","","null","","null","","Candidate, U.S. House California District 40","California"
"1585449493-1284","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","320|Richard W Allen|incumbent|House","https://ballotpedia.org/Richard_Allen","Richard Allen (North Carolina)","https://ballotpedia.org/Richard_Allen_(North_Carolina)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Richard_Allen.jpg","Richard Allen (North Carolina)","null","null","","null","","null","","null","","null","","null","","null","North Carolina"
"1585449695-1314","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","373|Don Beyer|incumbent|House","https://ballotpedia.org/Don_Beyer","Campaign Twitter page","https://twitter.com/DonBeyerVA","","null","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449590-1298","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","367|Dan Sullivan|incumbent|Senate","https://ballotpedia.org/Dan_Sullivan","Arkansas","https://ballotpedia.org/Arkansas","","Arkansas","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449362-1265","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1613|Justin Jones||House","https://ballotpedia.org/Justin_Jones","Justin Jones (Arkansas)","https://ballotpedia.org/Justin_Jones_(Arkansas)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/B6744421-76FD-4E95-9A16-6FE38B0EA526.jpeg","Justin Jones (Arkansas)","null","null","","null","","null","","null","","null","","null","","null","Arkansas"
"1585449487-1283","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","345|David P Joyce|incumbent|House","https://ballotpedia.org/David_Joyce","Search Google News for this topic","https://www.google.com/search?tbm=nws&q=David+Joyce","","null","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449562-1290","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","394|Don Bacon|incumbent|House","https://ballotpedia.org/Don_Bacon","Campaign website","http://donjbacon.com/","","null","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449402-1270","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1631|Christopher Bartholomew Smith||House","https://ballotpedia.org/Christopher_Smith","Christopher Smith (California)","https://ballotpedia.org/Christopher_Smith_(California)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Christopher_Smith.jpg","Christopher Smith (California)","null","Campaign website","https://christophersmithforcongress.com/","Campaign Facebook","https://www.facebook.com/christophersmithforcongress","Campaign Twitter","https://www.twitter.com/Christopher_C_S","Personal website","https://www.christophercarsonsmith.com/","Personal Facebook","https://www.facebook.com/ChristopherCarsonSmith","Personal Facebook","https://www.facebook.com/ChristopherCarsonSmith","null","California"
"1585449576-1294","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","367|Dan Sullivan|incumbent|Senate","https://ballotpedia.org/Dan_Sullivan","Oklahoma","https://ballotpedia.org/Oklahoma","","Oklahoma","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449417-1271","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1244|Robert Marshall||Senate","https://ballotpedia.org/Robert_Marshall","Robert Marshall (New York)","https://ballotpedia.org/Robert_Marshall_(New_York)","","Robert Marshall (New York)","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449062-1227","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1503|Tim Johnson||House","https://ballotpedia.org/Tim_Johnson","Tim Johnson (South Dakota)","https://ballotpedia.org/Tim_Johnson,_South_Dakota","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Tim_Johnson.jpg","Tim Johnson (South Dakota)","null","null","","null","","null","","null","","null","","null","","Compensation","South Dakota"
"1585449673-1310","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","112|Chris Smith|incumbent|House","https://ballotpedia.org/Chris_Smith","Chris Smith (Michigan)","https://ballotpedia.org/Chris_Smith_(Michigan)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Chris_Smith_MI.jpg","Chris Smith (Michigan)","null","Campaign website","https://www.chrissmithformich.com/","Campaign Facebook","https://www.facebook.com/ChrisSmithforCongress","Campaign Twitter","https://www.twitter.com/ChrisSmith2018","Personal Twitter","https://www.twitter.com/ChrisSmith2018","null","","null","","null","Michigan"
