name,state,category
City_Council_Commissioner_District,AL,City
County_Commissioner_District,AL,County
County_Supervisorial_District,AL,County
US_Congressional_District,AL,State
State_Senate_District,AL,State
State_House_District,AL,State
City_School_District,AL,Education
County_Legislative_District,AL,Education
Board_of_Education_District,AL,Education
School_District,AL,Education
City_Council_Commissioner_District,AK,City
County_Commissioner_District,AK,County
County_Supervisorial_District,AK,County
State_Senate_District,AK,State
State_House_District,AK,State
County_Legislative_District,AK,Education
City_Council_Commissioner_District,AZ,City
County_Commissioner_District,AZ,County
County_Supervisorial_District,AZ,County
US_Congressional_District,AZ,State
State_Senate_District,AZ,State
State_House_District,AZ,State
Community_College,AZ,Education
Community_College_Commissioner_District,AZ,Education
Community_College_SubDistrict,AZ,Education
County_Legislative_District,AZ,Education
Elementary_School_District,AZ,Education
High_School_District,AZ,Education
School_District,AZ,Education
School_District_Vocational,AZ,Education
Unified_School_District,AZ,Education
Unified_School_SubDistrict,AZ,Education
City_Council_Commissioner_District,AR,City
County_Commissioner_District,AR,County
County_Supervisorial_District,AR,County
US_Congressional_District,AR,State
State_Senate_District,AR,State
State_House_District,AR,State
County_Legislative_District,AR,Education
School_District,AR,Education
School_Subdistrict,AR,Education
Judicial_Appellate_District,AR,Judicial
Judicial_Circuit_Court_District,AR,Judicial
Judicial_Sub_Circuit_District,AR,Judicial
City_Council_Commissioner_District,CA,City
County_Commissioner_District,CA,County
County_Supervisorial_District,CA,County
US_Congressional_District,CA,State
State_Senate_District,CA,State
State_House_District,CA,State
City_School_District,CA,Education
Community_College,CA,Education
Community_College_Commissioner_District,CA,Education
Community_College_SubDistrict,CA,Education
County_Board_of_Education_District,CA,Education
County_Board_of_Education_SubDistrict,CA,Education
County_Legislative_District,CA,Education
Elementary_School_District,CA,Education
Elementary_School_SubDistrict,CA,Education
High_School_District,CA,Education
High_School_SubDistrict,CA,Education
School_District,CA,Education
School_Facilities_Improvement_District,CA,Education
School_Subdistrict,CA,Education
Superintendent_of_Schools_District,CA,Education
Unified_School_District,CA,Education
Unified_School_SubDistrict,CA,Education
Judicial_Appellate_District,CA,Judicial
Judicial_District,CA,Judicial
Judicial_Superior_Court_District,CA,Judicial
City_Council_Commissioner_District,CO,City
County_Commissioner_District,CO,County
County_Supervisorial_District,CO,County
US_Congressional_District,CO,State
State_Senate_District,CO,State
State_House_District,CO,State
College_Board_District,CO,Education
Community_College,CO,Education
County_Legislative_District,CO,Education
Board_of_Education_District,CO,Education
School_District,CO,Education
School_Subdistrict,CO,Education
Judicial_District_Court_District,CO,Judicial
City_Council_Commissioner_District,CT,City
County_Commissioner_District,CT,County
County_Supervisorial_District,CT,County
US_Congressional_District,CT,State
State_Senate_District,CT,State
State_House_District,CT,State
County_Legislative_District,CT,Education
High_School_District,CT,Education
School_District,CT,Education
City_Council_Commissioner_District,DE,City
County_Commissioner_District,DE,County
County_Supervisorial_District,DE,County
State_Senate_District,DE,State
State_House_District,DE,State
County_Legislative_District,DE,Education
School_District,DE,Education
City_Council_Commissioner_District,FL,City
County_Commissioner_District,FL,County
County_Supervisorial_District,FL,County
US_Congressional_District,FL,State
State_Senate_District,FL,State
State_House_District,FL,State
County_Legislative_District,FL,Education
School_Board_District,FL,Education
City_Council_Commissioner_District,GA,City
County_Commissioner_District,GA,County
County_Supervisorial_District,GA,County
US_Congressional_District,GA,State
State_Senate_District,GA,State
State_House_District,GA,State
City_School_District,GA,Education
County_Legislative_District,GA,Education
School_Board_District,GA,Education
Judicial_Circuit_Court_District,GA,Judicial
Judicial_Superior_Court_District,GA,Judicial
County_Commissioner_District,HI,County
County_Supervisorial_District,HI,County
US_Congressional_District,HI,State
State_Senate_District,HI,State
State_House_District,HI,State
County_Legislative_District,HI,Education
City_Council_Commissioner_District,ID,City
County_Commissioner_District,ID,County
County_Supervisorial_District,ID,County
US_Congressional_District,ID,State
State_Senate_District,ID,State
State_House_District,ID,State
County_Legislative_District,ID,Education
Unified_School_District,ID,Education
Unified_School_SubDistrict,ID,Education
City_Council_Commissioner_District,IL,City
Proposed_City_Commissioner_District,IL,City
County_Commissioner_District,IL,County
County_Supervisorial_District,IL,County
US_Congressional_District,IL,State
State_Senate_District,IL,State
State_House_District,IL,State
Community_College,IL,Education
Community_College_SubDistrict,IL,Education
County_Legislative_District,IL,Education
Educational_Service_District,IL,Education
Elementary_School_District,IL,Education
High_School_District,IL,Education
High_School_SubDistrict,IL,Education
School_District,IL,Education
School_Subdistrict,IL,Education
Judicial_Appellate_District,IL,Judicial
Judicial_Circuit_Court_District,IL,Judicial
Judicial_County_Board_of_Review_District,IL,Judicial
Judicial_Sub_Circuit_District,IL,Judicial
City_Council_Commissioner_District,IN,City
County_Commissioner_District,IN,County
County_Supervisorial_District,IN,County
US_Congressional_District,IN,State
State_Senate_District,IN,State
State_House_District,IN,State
County_Legislative_District,IN,Education
School_Board_District,IN,Education
School_District,IN,Education
City_Council_Commissioner_District,IA,City
County_Commissioner_District,IA,County
County_Supervisorial_District,IA,County
US_Congressional_District,IA,State
State_Senate_District,IA,State
State_House_District,IA,State
Community_College,IA,Education
Community_College_Commissioner_District,IA,Education
County_Legislative_District,IA,Education
School_District,IA,Education
School_Subdistrict,IA,Education
Judicial_District,IA,Judicial
