name,state,category
City_Council_Commissioner_District,AL,City
County_Commissioner_District,AL,County
County_Supervisorial_District,AL,County
US_Congressional_District,AL,State
State_Senate_District,AL,State
State_House_District,AL,State
City_School_District,AL,Education
Board_of_Education_District,AL,Education
School_District,AL,Education
Fire_District,AL,Fire
Designated_Market_Area_DMA,AL,Misc
Other,AL,Misc
Special_Tax_District,AL,Misc
City_Council_Commissioner_District,AK,City
County_Commissioner_District,AK,County
County_Supervisorial_District,AK,County
State_Senate_District,AK,State
State_House_District,AK,State
Designated_Market_Area_DMA,AK,Misc
City_Council_Commissioner_District,AZ,City
County_Commissioner_District,AZ,County
County_Supervisorial_District,AZ,County
US_Congressional_District,AZ,State
State_Senate_District,AZ,State
State_House_District,AZ,State
Community_College,AZ,Education
Community_College_Commissioner_District,AZ,Education
Community_College_SubDistrict,AZ,Education
Elementary_School_District,AZ,Education
High_School_District,AZ,Education
School_District,AZ,Education
School_District_Vocational,AZ,Education
Unified_School_District,AZ,Education
Unified_School_SubDistrict,AZ,Education
Water_District,AZ,Water
Fire_District,AZ,Fire
Designated_Market_Area_DMA,AZ,Misc
City_Council_Commissioner_District,AR,City
County_Commissioner_District,AR,County
County_Supervisorial_District,AR,County
US_Congressional_District,AR,State
State_Senate_District,AR,State
State_House_District,AR,State
School_District,AR,Education
School_Subdistrict,AR,Education
Judicial_Appellate_District,AR,Judicial
Judicial_Circuit_Court_District,AR,Judicial
Judicial_Sub_Circuit_District,AR,Judicial
Water_District,AR,Water
Fire_District,AR,Fire
Designated_Market_Area_DMA,AR,Misc
City_Council_Commissioner_District,CA,City
County_Commissioner_District,CA,County
County_Supervisorial_District,CA,County
US_Congressional_District,CA,State
State_Senate_District,CA,State
State_House_District,CA,State
State_Board_of_Equalization,CA,State
City_School_District,CA,Education
Community_College,CA,Education
Community_College_Commissioner_District,CA,Education
Community_College_SubDistrict,CA,Education
County_Board_of_Education_District,CA,Education
County_Board_of_Education_SubDistrict,CA,Education
Elementary_School_District,CA,Education
Elementary_School_SubDistrict,CA,Education
High_School_District,CA,Education
High_School_SubDistrict,CA,Education
School_District,CA,Education
School_Facilities_Improvement_District,CA,Education
School_Subdistrict,CA,Education
Superintendent_of_Schools_District,CA,Education
Unified_School_District,CA,Education
Unified_School_SubDistrict,CA,Education
Judicial_Appellate_District,CA,Judicial
Judicial_District,CA,Judicial
Judicial_Superior_Court_District,CA,Judicial
County_Water_District,CA,Water
County_Water_SubDistrict,CA,Water
Municipal_Water_District,CA,Water
Municipal_Water_SubDistrict,CA,Water
Water_Agency,CA,Water
Water_Agency_SubDistrict,CA,Water
Water_Conservation_District,CA,Water
Water_Conservation_SubDistrict,CA,Water
Water_District,CA,Water
Water_Replacement_SubDistrict,CA,Water
Water_SubDistrict,CA,Water
Fire_District,CA,Fire
Fire_Maintenance_District,CA,Fire
Fire_Protection_District,CA,Fire
Fire_Protection_SubDistrict,CA,Fire
Fire_SubDistrict,CA,Fire
Rapid_Transit_SubDistrict,CA,Transit
Transit_District,CA,Transit
Transit_SubDistrict,CA,Transit
Community_Service_District,CA,Service
Community_Service_SubDistrict,CA,Service
County_Service_Area,CA,Service
County_Service_Area_SubDistrict,CA,Service
Airport_District,CA,Misc
Cemetery_District,CA,Misc
Central_Committee_District,CA,Misc
Community_Facilities_District,CA,Misc
Community_Planning_Area,CA,Misc
Conservation_District,CA,Misc
Conservation_SubDistrict,CA,Misc
Democratic_Convention_Member,CA,Misc
Designated_Market_Area_DMA,CA,Misc
Drainage_District,CA,Misc
Emergency_Communication_911_District,CA,Misc
Facilities_Improvement_District,CA,Misc
Flood_Control_Zone,CA,Misc
Garbage_District,CA,Misc
Geological_Hazard_Abatement_District,CA,Misc
Hospital_SubDistrict,CA,Misc
Improvement_Landowner_District,CA,Misc
Irrigation_District,CA,Misc
Irrigation_SubDistrict,CA,Misc
Levee_District,CA,Misc
Library_District,CA,Misc
Library_SubDistrict,CA,Misc
Lighting_District,CA,Misc
Memorial_District,CA,Misc
Mosquito_Abatement_District,CA,Misc
Municipal_Advisory_Council_District,CA,Misc
Municipal_Utility_District,CA,Misc
Municipal_Utility_SubDistrict,CA,Misc
Open_Space_District,CA,Misc
Open_Space_SubDistrict,CA,Misc
Other,CA,Misc
Paramedic_District,CA,Misc
Park_District,CA,Misc
Park_SubDistrict,CA,Misc
Planning_Area_District,CA,Misc
Police_District,CA,Misc
Port_District,CA,Misc
Port_SubDistrict,CA,Misc
Public_Utility_District,CA,Misc
Public_Utility_SubDistrict,CA,Misc
Recreation_District,CA,Misc
Recreational_SubDistrict,CA,Misc
Republican_Convention_Member,CA,Misc
Resource_Conservation_District,CA,Misc
Road_Maintenance_District,CA,Misc
Rural_Service_District,CA,Misc
Sanitary_District,CA,Misc
Sanitary_SubDistrict,CA,Misc
Special_Tax_District,CA,Misc
Unincorporated_District,CA,Misc
Wastewater_District,CA,Misc
City_Council_Commissioner_District,CO,City
County_Commissioner_District,CO,County
County_Supervisorial_District,CO,County
US_Congressional_District,CO,State
State_Senate_District,CO,State
State_House_District,CO,State
College_Board_District,CO,Education
Community_College,CO,Education
Board_of_Education_District,CO,Education
School_District,CO,Education
School_Subdistrict,CO,Education
Judicial_District_Court_District,CO,Judicial
