"city","city_ascii","city_alt","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","population_proper","density","source","military","incorporated","cdp","township","timezone","ranking","zips","id","age_median","age_under_10","age_10_to_19","age_20s","age_30s","age_40s","age_50s","age_60s","age_70s","age_over_80","age_over_65","age_18_to_24","age_over_18","male","female","married","divorced","never_married","widowed","family_size","family_dual_income","income_household_median","income_household_under_5","income_household_5_to_10","income_household_10_to_15","income_household_15_to_20","income_household_20_to_25","income_household_25_to_35","income_household_35_to_50","income_household_50_to_75","income_household_75_to_100","income_household_100_to_150","income_household_150_over","income_household_six_figure","income_individual_median","home_ownership","housing_units","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","labor_force_participation","unemployment_rate","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple","hispanic","disabled","poverty","limited_english","commute_time","health_uninsured","veteran","cbsa_fips","cbsa_name","cbsa_metro","csa_fips","csa_name"
"Alfalfa","Alfalfa","","OR","Oregon","41017","Deschutes","41017","Deschutes","44.0773","-121.0170","","","12.4","point","FALSE","FALSE","FALSE","FALSE","America/Los_Angeles","4","97701","1840034665","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39260","Prineville, OR","FALSE","140","Bend-Prineville, OR"
"Hematite","Hematite","","VA","Virginia","51005","Alleghany","51005","Alleghany","37.7398","-80.1762","","","17.0","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","24426","1840116598","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40220","Roanoke, VA","TRUE","",""
"Burnstown","Burnstown","","LA","Louisiana","22115","Vernon","22115","Vernon","31.2824","-92.9349","","","1.6","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","5","71446","1840064129","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10780","Alexandria, LA","TRUE","",""
"Medical Springs","Medical Springs","","OR","Oregon","41061","Union","41061","Union","45.0171","-117.6285","","","5.3","point","FALSE","FALSE","FALSE","FALSE","America/Los_Angeles","5","97814","1840097396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29260","La Grande, OR","FALSE","",""
"Engleville","Engleville","","NY","New York","36095","Schoharie","36095","Schoharie","42.7551","-74.6485","","","6.4","point","FALSE","FALSE","FALSE","FALSE","America/New_York","5","13459","1840083688","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10580","Albany-Schenectady-Troy, NY","TRUE","104","Albany-Schenectady, NY"
"Porcher Bluff","Porcher Bluff","","SC","South Carolina","45019","Charleston","45019","Charleston","32.8585","-79.7640","","","277.4","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","29466","1840107083","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16700","Charleston-North Charleston, SC","TRUE","",""
"Coble","Coble","","TN","Tennessee","47081","Hickman","47081","Hickman","35.7831","-87.6325","","","43.4","point","FALSE","FALSE","FALSE","FALSE","America/Chicago","4","37033","1840109505","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","",""
"Collins Park","Collins Park","","DE","Delaware","10003","New Castle","10003","New Castle","39.6862","-75.5563","","","2724.3","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","19720","1840027442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","TRUE","428","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
"Chilesburg","Chilesburg","","VA","Virginia","51033","Caroline","51033","Caroline","37.9996","-77.5925","","","42.5","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","22546","1840115570","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","TRUE","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"South Wilmington","South Wilmington","","DE","Delaware","10003","New Castle","10003","New Castle","39.7293","-75.5441","","","1842.6","point","FALSE","FALSE","FALSE","FALSE","America/New_York","4","19801","1840045808","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","TRUE","428","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
