web-scraper-order,web-scraper-start-url,openSecretsId,openSecretsId-href,name,nameDistrict,reportDate,raised,image-src
"1586560794-1459","http://localhost:4000/scrape/incumbents/","N00009724","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00009724","Jim Langevin","Rep. Jim Langevin - Rhode Island District 02","12/31/2019","$653,269","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560962-1530","http://localhost:4000/scrape/incumbents/","N00037260","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00037260","Lou Correa","Rep. Lou Correa - California District 46","03/31/2020","$800,322","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561545-1771","http://localhost:4000/scrape/incumbents/","N00035927","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00035927","Kathleen Rice","Rep. Kathleen Rice - New York District 04","12/31/2019","$570,317","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560720-1426","http://localhost:4000/scrape/incumbents/","N00039777","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00039777","John Rutherford","Rep. John Rutherford - Florida District 04","12/31/2019","$371,300","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561570-1782","http://localhost:4000/scrape/incumbents/","N00024870","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00024870","Linda Sanchez","Rep. Linda Sanchez - California District 38","02/12/2020","$804,466","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561129-1599","http://localhost:4000/scrape/incumbents/","N00035516","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00035516","David Perdue","Sen. David Perdue - Georgia","12/31/2019","$13,448,634","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561516-1759","http://localhost:4000/scrape/incumbents/","N00002674","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00002674","Sanford Bishop","Rep. Sanford Bishop - Georgia District 02","12/31/2019","$680,434","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560773-1450","http://localhost:4000/scrape/incumbents/","N00041154","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041154","Mikie Sherrill","Rep. Mikie Sherrill - New Jersey District 11","12/31/2019","$2,615,977","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586561062-1572","http://localhost:4000/scrape/incumbents/","N00035420","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00035420","Mike Bost","Rep. Mike Bost - Illinois District 12","02/26/2020","$1,131,612","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1586560787-1456","http://localhost:4000/scrape/incumbents/","N00041511","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041511","Pete Stauber","Rep. Pete Stauber - Minnesota District 08","12/31/2019","$1,279,875","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
