state-district,min-2nd
AK-0,77606
AL-1,3707
AL-2,54692
AL-3,52816
AL-4,1921
AL-5,39005
AL-6,4076
AL-7,2212
AR-1,57181
AR-2,64398
AR-3,39305
AR-4,32603
AZ-1,87723
AZ-2,82891
AZ-3,1303
AZ-4,25300
AZ-5,54596
AZ-6,70198
AZ-7,10715
AZ-8,41066
AZ-9,67841
CA-1,67853
CA-10,55123
CA-11,57160
CA-12,32197
CA-13,21940
CA-14,34757
CA-15,43150
CA-16,37913
CA-17,53176
CA-18,51716
CA-19,2490
CA-2,54400
CA-20,32118
CA-21,33470
CA-22,2173
CA-23,33726
CA-24,95566
CA-25,53225
CA-26,76093
CA-27,51852
CA-28,150
CA-29,17045
CA-3,71036
CA-30,45315
CA-31,14740
CA-32,31697
CA-33,21342
CA-34,16924
CA-35,22753
CA-36,61457
CA-37,18051
CA-38,29113
CA-39,41906
CA-4,84350
CA-40,59400
CA-41,35936
CA-42,38850
CA-43,28521
CA-44,9192
CA-45,56819
CA-46,33577
CA-47,31432
CA-48,62713
CA-49,59714
CA-5,41535
CA-50,45302
CA-51,25577
CA-52,70870
CA-53,57230
CA-6,36448
CA-7,51166
CA-8,31711
CA-9,23054
CO-1,59747
CO-2,98171
CO-3,100364
CO-4,83727
CO-5,53318
CO-6,104104
CO-7,88026
CT-1,76860
CT-2,10654
CT-3,58583
CT-4,88209
CT-5,92404
DE-0,85146
FL-1,23250
FL-10,71313
FL-11,61817
FL-12,87769
FL-13,55318
FL-14,74525
FL-15,84832
FL-16,80327
FL-17,17009
FL-18,101896
FL-19,78733
FL-2,96233
FL-20,165
FL-21,575
FL-22,90685
FL-23,26804
FL-24,15239
FL-25,17099
FL-26,78306
FL-27,115588
FL-3,50932
FL-4,13690
FL-5,59237
FL-6,71632
FL-7,73011
FL-8,84167
FL-9,66158
GA-1,869
GA-10,886
GA-11,90353
GA-12,70938
GA-13,61771
GA-14,53981
GA-2,66537
GA-3,73932
GA-4,109
GA-5,81
GA-6,188
GA-7,60112
GA-8,119
GA-9,34988
HI-1,38115
HI-2,33630
IA-1,100219
IA-2,4356
IA-3,111925
IA-4,74300
IA-5,63160
ID-1,5435
ID-2,48749
IL-1,29253
IL-10,82124
IL-11,81335
IL-12,74046
IL-13,86281
IL-14,76861
IL-15,55652
IL-16,131
IL-17,517
IL-18,57046
IL-19,67132
IL-2,25883
IL-3,40479
IL-4,11711
IL-5,38935
IL-6,65379
IL-7,27168
IL-8,66878
IL-9,53593
IN-1,47051
IN-2,55590
IN-3,39771
IN-4,47056
IN-5,49756
IN-6,45509
IN-7,46887
IN-8,61384
IN-9,55016
KS-1,34771
KS-2,66588
KS-3,89584
KS-4,69396
KY-1,62090
KY-2,69898
KY-3,87981
KY-4,66694
KY-5,33444
KY-6,98290
LA-1,24761
LA-2,20465
LA-3,28342
LA-4,44151
LA-5,33279
LA-6,32185
LA-7,98280
MA-1,5110
MA-10,120029
MA-2,91209
MA-3,81638
MA-4,5727
MA-5,1
MA-6,94845
MA-7,3852
MA-8,4148
MA-9,59965
MD-1,69255
MD-2,54335
MD-3,59156
MD-4,31467
MD-5,58775
MD-6,79335
MD-7,36756
MD-8,52421
ME-1,94751
ME-2,109268
MI-1,94824
MI-10,58530
MI-11,91710
MI-12,64716
MI-13,22186
MI-14,10732
MI-15,81802
MI-2,70851
MI-3,83953
MI-4,68458
MI-5,69222
MI-6,66729
MI-7,92083
MI-8,84069
MI-9,81470
MN-1,103536
MN-2,95565
MN-3,100240
MN-4,79492
MN-5,55222
MN-6,90926
MN-7,87062
MN-8,114871
MO-1,35273
MO-2,75384
MO-3,52021
MO-4,46464
MO-5,69071
MO-6,55157
MO-7,47282
MO-8,38721
MO-9,46817
MS-1,43713
MS-2,36465
MS-3,47744
MS-4,37869
MT-0,121954
NC-1,55990
NC-10,52972
NC-11,85342
NC-12,42568
NC-13,93099
NC-2,85479
NC-3,51317
NC-4,57416
NC-5,72762
NC-6,51507
NC-7,84054
NC-8,65854
NC-9,8219
ND-0,80377
NE-1,47106
NE-2,60486
NE-3,29932
NH-1,7966
NH-2,105060
NJ-1,58562
NJ-10,1848
NJ-11,55472
NJ-12,54168
NJ-13,19538
NJ-2,51690
NJ-3,82537
NJ-4,52118
NJ-5,62634
NJ-6,1912
NJ-7,68232
NJ-8,15141
NJ-9,36246
NM-1,459
NM-2,52499
NM-3,70775
NV-1,30413
NV-2,52016
NV-3,52644
NV-4,59844
NY-1,23327
NY-10,7419
NY-11,9119
NY-12,4482
NY-13,9535
NY-14,6735
NY-15,1778
NY-16,2257
NY-17,15706
NY-18,60513
NY-19,60533
NY-2,41814
NY-20,61820
NY-21,53140
NY-22,16277
NY-23,60233
NY-24,72631
NY-25,75990
NY-26,38477
NY-27,50420
NY-28,42016
NY-29,86099
NY-3,51346
NY-4,67811
NY-5,971
NY-6,6141
NY-7,8866
NY-8,6786
NY-9,8378
OH-1,72604
OH-10,63249
OH-11,28754
OH-12,61360
OH-13,55233
OH-14,70856
OH-15,66125
OH-16,75199
OH-17,57352
OH-18,80756
OH-2,68453
OH-3,51475
OH-4,50533
OH-5,54919
OH-6,73561
OH-7,70400
OH-8,1938
OH-9,51704
OK-1,45656
OK-2,38964
OK-3,36270
OK-4,40998
OK-5,57790
OR-1,58279
OR-2,278
OR-3,57424
OR-4,43133
OR-5,110332
PA-1,24714
PA-10,44737
PA-11,62228
PA-12,82825
PA-13,60549
PA-14,23214
PA-15,78327
PA-16,70994
PA-17,71371
PA-18,78558
PA-19,53549
PA-2,21907
PA-3,20387
PA-4,50250
PA-5,52375
PA-6,92901
PA-7,89256
PA-8,84767
PA-9,52322
RI-1,51340
RI-2,55409
SC-1,8423
SC-2,7602
SC-3,47181
SC-4,21969
SC-5,66802
SC-6,12920
SC-7,115
SD-0,92485
TN-1,9906
TN-2,25400
TN-3,7
TN-4,51357
TN-5,55078
TN-6,34766
TN-7,42280
TN-8,54
TN-9,11003
TX-1,14811
TX-10,6491
TX-11,11635
TX-12,38434
TX-13,11192
TX-14,44431
TX-15,39016
TX-16,16348
TX-17,35978
TX-18,4486
TX-19,17376
TX-2,16711
TX-20,21410
TX-21,27831
TX-22,47844
TX-23,55037
TX-24,22609
TX-25,64463
TX-26,24526
TX-27,44152
TX-28,10153
TX-29,3234
TX-3,24876
TX-30,7154
TX-31,26735
TX-32,43490
TX-33,6823
TX-34,30811
TX-35,32040
TX-36,24890
TX-4,29577
TX-5,15264
TX-6,50717
TX-7,31704
TX-8,14947
TX-9,5940
UT-1,36422
UT-2,47585
UT-3,32059
UT-4,67425
VA-1,72059
VA-10,72604
VA-11,34185
VA-2,70591
VA-3,7377
VA-4,74298
VA-5,73482
VA-6,21649
VA-7,79616
VA-8,63810
VA-9,6264
VT-0,14349
WA-1,101428
WA-10,82213
WA-2,79518
WA-3,78018
WA-4,74973
WA-5,87772
WA-6,83025
WA-7,47921
WA-8,73003
WA-9,48662
WI-1,79363
WI-2,8179
WI-3,169
WI-4,29282
WI-5,69715
WI-6,75926
WI-7,112949
WI-8,101345
WV-1,69
WV-2,55001
WV-3,49708
WY-0,37803
