state,min2nd
AK,24133
AL,22484
AR,207076
AZ,109230
CA,2990822
CO,648130
CT,448077
DE,69734
FL,1607549
GA,920478
HI,79939
IA,371686
ID,4136
IL,1325703
IN,168820
KS,70725
KY,399634
LA,347816
MA,334341
MD,655666
ME,113131
MI,1185545
MN,835653
MO,789736
MS,97226
MT,103611
NC,1047983
ND,52955
NE,70290
NH,167545
NJ,41998
NM,163826
NV,238260
NY,1212902
OH,1503297
OK,265814
OR,501898
PA,1684778
RI,69808
SC,364598
SD,82456
TN,437848
TX,1555202
UT,177459
VA,145102
VT,72699
WA,832106
WI,630299
WV,47408
WY,29377
