state,type,name,value
AL,County,AUTAUGA,AL##AUTAUGA
AL,County,BALDWIN,AL##BALDWIN
AL,County,BARBOUR,AL##BARBOUR
AL,County,BIBB,AL##BIBB
AL,County,BLOUNT,AL##BLOUNT
AL,County,BULLOCK,AL##BULLOCK
AL,County,BUTLER,AL##BUTLER
AL,County,CALHOUN,AL##CALHOUN
AL,County,CHAMBERS,AL##CHAMBERS
AL,County,CHEROKEE,AL##CHEROKEE
AL,County,CHILTON,AL##CHILTON
AL,County,CHOCTAW,AL##CHOCTAW
AL,County,CLARKE,AL##CLARKE
AL,County,CLAY,AL##CLAY
AL,County,CLEBURNE,AL##CLEBURNE
AL,County,COFFEE,AL##COFFEE
AL,County,COLBERT,AL##COLBERT
AL,County,CONECUH,AL##CONECUH
AL,County,COOSA,AL##COOSA
AL,County,COVINGTON,AL##COVINGTON
AL,County,CRENSHAW,AL##CRENSHAW
AL,County,CULLMAN,AL##CULLMAN
AL,County,DALE,AL##DALE
AL,County,DALLAS,AL##DALLAS
AL,County,DEKALB,AL##DEKALB
AL,County,ELMORE,AL##ELMORE
AL,County,ESCAMBIA,AL##ESCAMBIA
AL,County,ETOWAH,AL##ETOWAH
AL,County,FAYETTE,AL##FAYETTE
AL,County,FRANKLIN,AL##FRANKLIN
AL,County,GENEVA,AL##GENEVA
AL,County,GREENE,AL##GREENE
AL,County,HALE,AL##HALE
AL,County,HENRY,AL##HENRY
AL,County,HOUSTON,AL##HOUSTON
AL,County,JACKSON,AL##JACKSON
AL,County,JEFFERSON,AL##JEFFERSON
AL,County,LAMAR,AL##LAMAR
AL,County,LAUDERDALE,AL##LAUDERDALE
AL,County,LAWRENCE,AL##LAWRENCE
AL,County,LEE,AL##LEE
AL,County,LIMESTONE,AL##LIMESTONE
AL,County,LOWNDES,AL##LOWNDES
AL,County,MACON,AL##MACON
AL,County,MADISON,AL##MADISON
AL,County,MARENGO,AL##MARENGO
AL,County,MARION,AL##MARION
AL,County,MARSHALL,AL##MARSHALL
AL,County,MOBILE,AL##MOBILE
AL,County,MONROE,AL##MONROE
AL,County,MONTGOMERY,AL##MONTGOMERY
AL,County,MORGAN,AL##MORGAN
AL,County,PERRY,AL##PERRY
AL,County,PICKENS,AL##PICKENS
AL,County,PIKE,AL##PIKE
AL,County,RANDOLPH,AL##RANDOLPH
AL,County,RUSSELL,AL##RUSSELL
AL,County,SHELBY,AL##SHELBY
AL,County,ST. CLAIR,AL##ST. CLAIR
AL,County,SUMTER,AL##SUMTER
AL,County,TALLADEGA,AL##TALLADEGA
AL,County,TALLAPOOSA,AL##TALLAPOOSA
AL,County,TUSCALOOSA,AL##TUSCALOOSA
AL,County,WALKER,AL##WALKER
AL,County,WASHINGTON,AL##WASHINGTON
AL,County,WILCOX,AL##WILCOX
AL,County,WINSTON,AL##WINSTON
AL,City,ABBEVILLE CITY,AL##ABBEVILLE CITY (EST.)
AL,City,ADAMSVILLE CITY,AL##ADAMSVILLE CITY
AL,City,ALABASTER CITY,AL##ALABASTER CITY
AL,City,ALBERTVILLE CITY,AL##ALBERTVILLE CITY (EST.)
AL,City,ALEXANDER CITY,AL##ALEXANDER CITY (EST.)
AL,City,ALICEVILLE CITY,AL##ALICEVILLE CITY
AL,City,ANDALUSIA CITY,AL##ANDALUSIA CITY
AL,City,ANNISTON CITY,AL##ANNISTON CITY (EST.)
AL,City,ARAB CITY,AL##ARAB CITY (EST.)
AL,City,ASHLAND CITY,AL##ASHLAND CITY
AL,City,ASHVILLE CITY,AL##ASHVILLE CITY
AL,City,ATHENS CITY,AL##ATHENS CITY (EST.)
AL,City,ATMORE CITY,AL##ATMORE CITY (EST.)
AL,City,ATTALLA CITY,AL##ATTALLA CITY (EST.)
AL,City,AUBURN CITY,AL##AUBURN CITY (EST.)
AL,City,BAY MINETTE CITY,AL##BAY MINETTE CITY
AL,City,BAYOU LA BATRE CITY,AL##BAYOU LA BATRE CITY
AL,City,BEATRICE,AL##BEATRICE
AL,City,BESSEMER CITY,AL##BESSEMER CITY
AL,City,BIRMINGHAM CITY,AL##BIRMINGHAM CITY (EST.)
AL,City,BOAZ CITY,AL##BOAZ CITY
AL,City,BRENT CITY,AL##BRENT CITY (EST.)
AL,City,BRIDGEPORT CITY,AL##BRIDGEPORT CITY
