web-scraper-order,web-scraper-start-url,link,link-href,name,raised,smallIndividual,largeContributions,pac,selfFinancing,other
"1582361201-564","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=WA06&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=WA06&spec=N","Rebecca Parson (D)","77,624","41,032","33,928","$0","0","2,665"
"1582361716-1082","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MD07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MD07&spec=N","Leslie Grant (D)","10,838","15","548","$0","10,275","0"
"1582360792-61","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX34&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX34&spec=N","Rey Gonzalez (R)","10,192","1,509","4,900","$0","3,783","0"
"1582360910-224","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX12&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX12&spec=N","Lisa Welch (D)","40,600","5,397","3,627","$0","30,500","1,076"
"1582361597-949","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=PA01&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=PA01&spec=N","Christina Finello (D)","81,050","19,985","59,915","$1,150","0","0"
"1582361421-779","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA11&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=VA11&spec=N","Stevan Porter (L)","473","5","0","$0","398","70"
"1582361640-994","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=ORS1&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=ORS1&spec=N","Jo Rae Perkins (R)","10,676","1,097","2,700","$0","6,733","146"
"1582361716-1075","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=MD07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=MD07&spec=N","Saafir Rabb (D)","217,274","9,081","208,193","$0","0","0"
"1582361478-846","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA32&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA32&spec=N","Joshua Scott (R)","2,200","200","2,000","$0","0","0"
"1582360804-76","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=GA07&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=GA07&spec=N","Richard McCormick (R)","665,959","4,800","118,830","$12,500","518,930","10,900"
"1582361215-580","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ10&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ10&spec=N","Eugene Mazo (D)","5,138","1,038","4,100","$0","0","0"
"1582361340-692","https://www.thegoodparty.org/races","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA34&spec=N","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA34&spec=N","Joanne Wright (R)","19,535","100","4,035","$0","0","15,400"
