web-scraper-order,web-scraper-start-url,state,state-href,district,district-href,allCandidates,allCandidates-href,name,raised,contributionName1,contributionName2,contributionName3,contributionName4,contributionName5,contributionValue1,contributionValue2,contributionValue3,contributionValue4,contributionValue5,incumbentLink,incumbentLink-href,image-src,reportDate
"1586504466-267","https://thegoodparty.org/races","PA","https://www.opensecrets.org/races/election?id=PA","Pennsylvania District 18","https://www.opensecrets.org/races/summary?cycle=2020&id=PA18","See all candidates in this race","https://www.opensecrets.org/races/candidates?cycle=2020&id=PA18&spec=N","Gerald Dickinson (D)","172,511","Small Individual Contributions (≤ $200)","Large Individual Contributions","PAC Contributions*","Candidate self-financing","Other","$30,387","$142,623","$0","$1","-$500","null","","",""
"1586509316-737","https://thegoodparty.org/races","MI","https://www.opensecrets.org/races/election?id=MI","Michigan District 14","https://www.opensecrets.org/races/summary?cycle=2020&id=MI14","See all candidates in this race","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI14&spec=N","Brenda Lawrence (D) • Incumbent","537,248","Small Individual Contributions (≤ $200)","Large Individual Contributions","PAC Contributions*","Candidate self-financing","Other","$29,674","$172,977","$334,927","$0","-$330","Brenda Lawrence (D) • Incumbent","https://www.opensecrets.org/members-of-congress/summary?cid=N00034068","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs=","12/31/2019"
"1586503715-53","https://thegoodparty.org/races","WA","https://www.opensecrets.org/races/election?id=WA","Washington District 02","https://www.opensecrets.org/races/summary?cycle=2020&id=WA02","See all candidates in this race","https://www.opensecrets.org/races/candidates?cycle=2020&id=WA02&spec=N","Rick Larsen (D) • Incumbent","540,243","Small Individual Contributions (≤ $200)","Large Individual Contributions","PAC Contributions*","Candidate self-financing","Other","$33,059","$112,281","$395,950","$0","-$1,047","Rick Larsen (D) • Incumbent","https://www.opensecrets.org/members-of-congress/summary?cid=N00009759","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs=","12/31/2019"
"1586506957-592","https://thegoodparty.org/races","NJ","https://www.opensecrets.org/races/election?id=NJ","New Jersey District 05","https://www.opensecrets.org/races/summary?cycle=2020&id=NJ05","See all candidates in this race","https://www.opensecrets.org/races/candidates?cycle=2020&id=NJ05&spec=N","James Baldini (R)","1,388","Small Individual Contributions (≤ $200)","Large Individual Contributions","PAC Contributions*","Candidate self-financing","Other","$48","$1,031","$0","$309","$0","null","","",""
"1586511913-901","https://thegoodparty.org/races","KS","https://www.opensecrets.org/races/election?id=KS","Kansas District 01","https://www.opensecrets.org/races/summary?cycle=2020&id=KS01","See all candidates in this race","https://www.opensecrets.org/races/candidates?cycle=2020&id=KS01&spec=N","Troy Waymaster (R)","102,078","Small Individual Contributions (≤ $200)","Large Individual Contributions","PAC Contributions*","Candidate self-financing","Other","$8,950","$81,550","$0","$11,578","$0","null","","",""
"1586513010-1272","https://thegoodparty.org/races","CA","https://www.opensecrets.org/races/election?id=CA","California District 29","https://www.opensecrets.org/races/summary?cycle=2020&id=CA29","See all candidates in this race","https://www.opensecrets.org/races/candidates?cycle=2020&id=CA29&spec=N","Tony Cardenas (D) • Incumbent","612,447","Small Individual Contributions (≤ $200)","Large Individual Contributions","PAC Contributions*","Candidate self-financing","Other","$9,767","$184,378","$419,850","$0","-$1,548","Tony Cardenas (D) • Incumbent","https://www.opensecrets.org/members-of-congress/summary?cid=N00033373","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs=","02/12/2020"
"1586509924-782","https://thegoodparty.org/races","MI","https://www.opensecrets.org/races/election?id=MI","Michigan District 02","https://www.opensecrets.org/races/summary?cycle=2020&id=MI02","See all candidates in this race","https://www.opensecrets.org/races/candidates?cycle=2020&id=MI02&spec=N","Bryan Berghoef (D)","224,448","Small Individual Contributions (≤ $200)","Large Individual Contributions","PAC Contributions*","Candidate self-financing","Other","$92,914","$129,037","$0","$2,497","$0","null","","",""
"1586512365-992","https://thegoodparty.org/races","IL","https://www.opensecrets.org/races/election?id=IL","Illinois District 06","https://www.opensecrets.org/races/summary?cycle=2020&id=IL06","See all candidates in this race","https://www.opensecrets.org/races/candidates?cycle=2020&id=IL06&spec=N","Jeanne Ives (R)","874,622","Small Individual Contributions (≤ $200)","Large Individual Contributions","PAC Contributions*","Candidate self-financing","Other","$235,606","$637,406","$33,120","$100","-$31,610","null","","",""
"1586503926-129","https://thegoodparty.org/races","TX","https://www.opensecrets.org/races/election?id=TX","Texas District 33","https://www.opensecrets.org/races/summary?cycle=2020&id=TX33","See all candidates in this race","https://www.opensecrets.org/races/candidates?cycle=2020&id=TX33&spec=N","Marc Veasey (D) • Incumbent","877,128","Small Individual Contributions (≤ $200)","Large Individual Contributions","PAC Contributions*","Candidate self-financing","Other","$9,082","$297,912","$579,734","$0","-$9,600","Marc Veasey (D) • Incumbent","https://www.opensecrets.org/members-of-congress/summary?cid=N00033839","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs=","02/12/2020"
"1586512600-1104","https://thegoodparty.org/races","FL","https://www.opensecrets.org/races/election?id=FL","Florida District 20","https://www.opensecrets.org/races/summary?cycle=2020&id=FL20","See all candidates in this race","https://www.opensecrets.org/races/candidates?cycle=2020&id=FL20&spec=N","Lateresa Jones (R)","952","Small Individual Contributions (≤ $200)","Large Individual Contributions","PAC Contributions*","Candidate self-financing","Other","$352","$500","$0","$100","$0","null","","",""
