web-scraper-order,web-scraper-start-url,state,state-href,district,district-href,allCandidates,allCandidates-href,name,raised,contributionName1,contributionName2,contributionName3,contributionName4,contributionName5,contributionValue1,contributionValue2,contributionValue3,contributionValue4,contributionValue5,incumbentLink,incumbentLink-href,image-src,reportDate
1584774582-139,https://thegoodparty.org/races,TX,https://www.opensecrets.org/races/election?id=TX,Texas District 24,https://www.opensecrets.org/races/summary?cycle=2020&id=TX24,See all candidates in this race,https://www.opensecrets.org/races/candidates?cycle=2020&id=TX24&spec=N,Candace Valenzuela (D),"439,802",Small Individual Contributions (≤ $200),Large Individual Contributions,PAC Contributions*,Candidate self-financing,Other,"$135,649","$247,169","$50,500","$2,800","$3,684",null,,,
1584777192-1270,https://thegoodparty.org/races,CA,https://www.opensecrets.org/races/election?id=CA,California District 28,https://www.opensecrets.org/races/summary?cycle=2020&id=CA28,See all candidates in this race,https://www.opensecrets.org/races/candidates?cycle=2020&id=CA28&spec=N,Eric Early (R),"526,790",Small Individual Contributions (≤ $200),Large Individual Contributions,PAC Contributions*,Candidate self-financing,Other,"$225,329","$189,382","$5,010","$108,400","-$1,331",null,,,
1584775811-755,https://thegoodparty.org/races,MI,https://www.opensecrets.org/races/election?id=MI,Michigan District 03,https://www.opensecrets.org/races/summary?cycle=2020&id=MI03,See all candidates in this race,https://www.opensecrets.org/races/candidates?cycle=2020&id=MI03&spec=N,Joel Langlois (R),"459,081",Small Individual Contributions (≤ $200),Large Individual Contributions,PAC Contributions*,Candidate self-financing,Other,"$8,124","$50,957",$0,"$400,000",$0,null,,,
1584774828-237,https://thegoodparty.org/races,SC,https://www.opensecrets.org/races/election?id=SC,South Carolina District 02,https://www.opensecrets.org/races/summary?cycle=2020&id=SC02,See all candidates in this race,https://www.opensecrets.org/races/candidates?cycle=2020&id=SC02&spec=N,Lawrence Nathaniel (D),"21,543",Small Individual Contributions (≤ $200),Large Individual Contributions,PAC Contributions*,Candidate self-financing,Other,$653,"$17,890",$0,"$3,000",$0,null,,,
1584777108-1244,https://thegoodparty.org/races,CA,https://www.opensecrets.org/races/election?id=CA,California District 42,https://www.opensecrets.org/races/summary?cycle=2020&id=CA42,See all candidates in this race,https://www.opensecrets.org/races/candidates?cycle=2020&id=CA42&spec=N,Regina Marston (D),"6,983",Small Individual Contributions (≤ $200),Large Individual Contributions,PAC Contributions*,Candidate self-financing,Other,"$6,058",$925,$0,$0,$0,null,,,
1584777387-1334,https://thegoodparty.org/races,AZ,https://www.opensecrets.org/races/election?id=AZ,Arizona District 09,https://www.opensecrets.org/races/summary?cycle=2020&id=AZ09,See all candidates in this race,https://www.opensecrets.org/races/candidates?cycle=2020&id=AZ09&spec=N,Dave Giles (R),"27,047",Small Individual Contributions (≤ $200),Large Individual Contributions,PAC Contributions*,Candidate self-financing,Other,"$1,051","$4,194",$0,"$21,803",$0,null,,,
1584775811-758,https://thegoodparty.org/races,MI,https://www.opensecrets.org/races/election?id=MI,Michigan District 03,https://www.opensecrets.org/races/summary?cycle=2020&id=MI03,See all candidates in this race,https://www.opensecrets.org/races/candidates?cycle=2020&id=MI03&spec=N,Lynn Afendoulis (R),"271,193",Small Individual Contributions (≤ $200),Large Individual Contributions,PAC Contributions*,Candidate self-financing,Other,"$110,515","$96,480","$2,750","$62,528","-$1,080",null,,,
1584775420-526,https://thegoodparty.org/races,NM,https://www.opensecrets.org/races/election?id=NM,New Mexico District 03,https://www.opensecrets.org/races/summary?cycle=2020&id=NM03,See all candidates in this race,https://www.opensecrets.org/races/candidates?cycle=2020&id=NM03&spec=N,Teresa Leger (D),"682,398",Small Individual Contributions (≤ $200),Large Individual Contributions,PAC Contributions*,Candidate self-financing,Other,"$131,676","$527,223","$23,499",$0,$0,null,,,
1584776893-1153,https://thegoodparty.org/races,FL,https://www.opensecrets.org/races/election?id=FL,Florida District 07,https://www.opensecrets.org/races/summary?cycle=2020&id=FL07,See all candidates in this race,https://www.opensecrets.org/races/candidates?cycle=2020&id=FL07&spec=N,Jan Edwards (R),"8,546",Small Individual Contributions (≤ $200),Large Individual Contributions,PAC Contributions*,Candidate self-financing,Other,$470,"$14,650",$0,$0,"-$6,574",null,,,
1584774710-197,https://thegoodparty.org/races,TX,https://www.opensecrets.org/races/election?id=TX,Texas District 01,https://www.opensecrets.org/races/summary?cycle=2020&id=TX01,See all candidates in this race,https://www.opensecrets.org/races/candidates?cycle=2020&id=TX01&spec=N,Louis B Gohmert Jr. (R) • Incumbent,"291,784",Small Individual Contributions (≤ $200),Large Individual Contributions,PAC Contributions*,Candidate self-financing,Other,"$35,603","$229,894","$26,287",$0,$0,Louis B Gohmert Jr. (R) • Incumbent,https://www.opensecrets.org/members-of-congress/summary?cid=N00026148,"data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs=",02/12/2020
