web-scraper-order,web-scraper-start-url,openSecretsId,openSecretsId-href,name,nameDistrict,reportDate,raised,image-src
"1592862137-138","https://www.thegoodparty.org/scrape/incumbents/","N00026335","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00026335","Daniel Webster","Rep. Daniel Webster - Florida District 11","03/31/2020","$397,569","https://cdn1.opensecrets.org/congress-members/photos/N00026335.jpg"
"1592862658-255","https://www.thegoodparty.org/scrape/incumbents/","N00033030","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00033030","Jared Huffman","Rep. Jared Huffman - California District 02","03/31/2020","$677,098","https://cdn1.opensecrets.org/congress-members/photos/N00033030.jpg"
"1592861873-86","https://www.thegoodparty.org/scrape/incumbents/","N00042282","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00042282","Sylvia Garcia","Rep. Sylvia Garcia - Texas District 29","03/31/2020","$454,378","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862211-152","https://www.thegoodparty.org/scrape/incumbents/","N00037269","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00037269","Brian Mast","Rep. Brian Mast - Florida District 18","03/31/2020","$3,097,865","https://cdn1.opensecrets.org/congress-members/photos/N00037269.jpg"
"1592861595-21","https://www.thegoodparty.org/scrape/incumbents/","N00038742","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00038742","Tom Suozzi","Rep. Tom Suozzi - New York District 03","06/03/2020","$2,151,696","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592863083-368","https://www.thegoodparty.org/scrape/incumbents/","N00036944","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00036944","Josh Gottheimer","Rep. Josh Gottheimer - New Jersey District 05","03/31/2020","$4,891,863","https://cdn1.opensecrets.org/congress-members/photos/N00036944.jpg"
"1592862969-339","https://www.thegoodparty.org/scrape/incumbents/","N00037247","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00037247","Susie Lee","Rep. Susie Lee - Nevada District 03","05/20/2020","$2,701,746","https://cdn1.opensecrets.org/congress-members/photos/N00037247.jpg"
"1592861640-38","https://www.thegoodparty.org/scrape/incumbents/","N00030667","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00030667","Adam Kinzinger","Rep. Adam Kinzinger - Illinois District 16","03/31/2020","$1,501,851","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592861660-43","https://www.thegoodparty.org/scrape/incumbents/","N00004724","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00004724","Jan Schakowsky","Rep. Jan Schakowsky - Illinois District 09","03/31/2020","$1,508,743","https://cdn1.opensecrets.org/congress-members/photos/N00004724.jpg"
"1592863095-372","https://www.thegoodparty.org/scrape/incumbents/","N00033720","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00033720","Richard W Allen","Rep. Richard W Allen - Georgia District 12","05/20/2020","$850,708","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592863139-386","https://www.thegoodparty.org/scrape/incumbents/","N00031227","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00031227","Larry Bucshon","Rep. Larry Bucshon - Indiana District 08","05/13/2020","$648,621","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592861792-67","https://www.thegoodparty.org/scrape/incumbents/","N00039122","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00039122","David Trone","Rep. David Trone - Maryland District 06","05/13/2020","$2,268,004","https://cdn1.opensecrets.org/congress-members/photos/N00039122.jpg"
"1592863057-361","https://www.thegoodparty.org/scrape/incumbents/","N00041542","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00041542","Carol Miller","Rep. Carol Miller - West Virginia District 03","05/20/2020","$634,994","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592862995-345","https://www.thegoodparty.org/scrape/incumbents/","N00002147","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00002147","Bobby Scott","Rep. Bobby Scott - Virginia District 03","06/03/2020","$566,740","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
"1592861782-65","https://www.thegoodparty.org/scrape/incumbents/","N00034349","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00034349","Filemon Vela","Rep. Filemon Vela - Texas District 34","03/31/2020","$798,717","https://cdn1.opensecrets.org/congress-members/photos/N00034349.jpg"
"1592862836-304","https://www.thegoodparty.org/scrape/incumbents/","N00026627","https://www.opensecrets.org/members-of-congress/summary?cycle=2020&type=C&cid=N00026627","Patrick McHenry","Rep. Patrick McHenry - North Carolina District 10","03/31/2020","$2,852,463","data:image/gif;base64,R0lGODdhAQABAPAAAMPDwwAAACwAAAAAAQABAAACAkQBADs="
