state,municipality,electionDay,isPrimary,partisanType
TX,Kinney,3/5/2024,,
TX,McCulloch,3/5/2024,,
TX,Parker,3/5/2024,,
TX,Dallam,3/5/2024,,
TX,Fort Bend,3/5/2024,,
TX,Erath,3/5/2024,,
TX,Tarrant,3/5/2024,,
TX,Reeves,3/5/2024,,
TX,Johnson,3/5/2024,,
TX,Morris,3/5/2024,,
TX,Red River,3/5/2024,,
TX,Crosby,3/5/2024,,
TX,Wilbarger,3/5/2024,,
TX,Caldwell,3/5/2024,,
TX,Gillespie,3/5/2024,,
TX,Panola,3/5/2024,,
TX,Kent,3/5/2024,,
TX,Concho,3/5/2024,,
TX,Maverick,3/5/2024,,
TX,San Patricio,3/5/2024,,
TX,Palo Pinto,3/5/2024,,
TX,Glasscock,3/5/2024,,
TX,Travis,3/5/2024,,
TX,Stonewall,3/5/2024,,
TX,Throckmorton,3/5/2024,,
TX,Navarro,3/5/2024,,
TX,El Paso,3/5/2024,,
TX,Cameron,3/5/2024,,
TX,Mason,3/5/2024,,
TX,San Augustine,3/5/2024,,
TX,Loving,3/5/2024,,
TX,Brooks,3/5/2024,,
TX,Motley,3/5/2024,,
TX,Hudspeth,3/5/2024,,
TX,Polk,3/5/2024,,
TX,Kaufman,3/5/2024,,
TX,Goliad,3/5/2024,,
TX,Edwards,3/5/2024,,
TX,Bowie,3/5/2024,,
TX,Moore,3/5/2024,,
TX,Andrews,3/5/2024,,
TX,Bee,3/5/2024,,
TX,Smith,3/5/2024,,
TX,Hall,3/5/2024,,
TX,Hutchinson,3/5/2024,,
TX,Freestone,3/5/2024,,
TX,Howard,3/5/2024,,
TX,Cass,3/5/2024,,
TX,Reagan,3/5/2024,,
TX,Uvalde,3/5/2024,,
TX,Yoakum,3/5/2024,,
TX,Live Oak,3/5/2024,,
TX,Castro,3/5/2024,,
TX,Jeff Davis,3/5/2024,,
TX,Cherokee,3/5/2024,,
TX,Hale,3/5/2024,,
TX,Williamson,3/5/2024,,
TX,Upton,3/5/2024,,
TX,Irion,3/5/2024,,
TX,Kendall,3/5/2024,,
TX,Gaines,3/5/2024,,
TX,Bexar,3/5/2024,,
TX,Blanco,3/5/2024,,
TX,Victoria,3/5/2024,,
TX,Jasper,3/5/2024,,
NC,Alamance,3/5/2024,,
NC,Alamance-Burlington,11/5/2024,,
NC,Alexander,3/5/2024,,
NC,Alleghany,3/5/2024,,
NC,Anson,3/5/2024,,
NC,Albemarle,3/5/2024,,
NC,Stanly,,,
NC,Asheville,3/5/2024,,
NC,Ashe,3/5/2024,,
NC,Avery,3/5/2024,,
NC,Beaufort,3/5/2024,,
NC,Bertie,3/5/2024,,
NC,Biltmore Forest,3/5/2024,,
NC,Black Mountain,3/5/2024,,
NC,Bladen,3/5/2024,,
NC,Brunswick,3/5/2024,,
NC,Buncombe,3/5/2024,,
NC,Burke,3/5/2024,,
NC,Cabarrus,3/5/2024,,
NC,Caldwell,3/5/2024,,
NC,Camden,3/5/2024,,
NC,Carteret,3/5/2024,,
NC,Caswell,3/5/2024,,
NC,Catawba,3/5/2024,,
NC,Chatham,3/5/2024,,
NC,Cherokee,3/5/2024,,
NC,Chowan,3/5/2024,,
NC,Clay,3/5/2024,,
NC,Cleveland,3/5/2024,,
NC,Columbus,3/5/2024,,
NC,Craven,3/5/2024,,
NC,Cumberland,3/5/2024,,
NC,Cumberland,3/5/2024,,
NC,Dare,3/5/2024,,
NC,Davidson,3/5/2024,,
NC,Davie,3/5/2024,,
NC,Duplin,3/5/2024,,
NC,Durham,3/5/2024,,
NC,Edgecombe,3/5/2024,,
NC,Forsyth,3/5/2024,,
NC,Franklin,3/5/2024,,
NC,Gaston,3/5/2024,,
NC,Gates,3/5/2024,,
NC,Graham,3/5/2024,,
NC,Granville,3/5/2024,,
NC,Greene,3/5/2024,,
NC,Guilford,3/5/2024,,
NC,Halifax,3/5/2024,,
NC,Harnett,3/5/2024,,
NC,Haywood,3/5/2024,,
NC,Henderson,3/5/2024,,
NC,Hertford,3/5/2024,,
NC,Hoke,3/5/2024,,
NC,Hyde,3/5/2024,,
NC,Iredell,3/5/2024,,
NC,Iredell-Statesville,3/5/2024,,
NC,Jackson,3/5/2024,,
NC,Johnston,3/5/2024,,
NC,Jones,3/5/2024,,
NC,Lee,3/5/2024,,
NC,Lenoir,3/5/2024,,
NC,Lincoln,3/5/2024,,
NC,Macon,3/5/2024,,
NC,Madison,3/5/2024,,
NC,Martin,3/5/2024,,
NC,Mcdowell,3/5/2024,,
NC,Mecklenburg,3/5/2024,,
NC,Misenheimer,3/5/2024,,
NC,Mitchell,3/5/2024,,
NC,Montgomery,3/5/2024,,
NC,Moore,3/5/2024,,
NC,Nash,3/5/2024,,
NC,New Hanover,3/5/2024,,
NC,Northampton,3/5/2024,,
NC,Onslow,3/5/2024,,
NC,Orange,3/5/2024,,
NC,Pamlico,3/5/2024,,
NC,Pasquotank,3/5/2024,,
NC,Pender,3/5/2024,,
NC,Perquimans,3/5/2024,,
NC,Person,3/5/2024,,
NC,Pitt,3/5/2024,,
NC,Polk,3/5/2024,,
NC,Randolph,3/5/2024,,
NC,Red Cross,3/5/2024,,
NC,Richmond,3/5/2024,,
NC,Robeson,3/5/2024,,
NC,Rockingham,3/5/2024,,
NC,Rowan,3/5/2024,,
NC,Rutherford,3/5/2024,,
NC,Sampson,3/5/2024,,
NC,Scotland,3/5/2024,,
NC,Stanly,3/5/2024,,
NC,Stokes,3/5/2024,,
NC,Surry,3/5/2024,,
NC,Swain,3/5/2024,,
NC,Transylvania,3/5/2024,,
NC,Tyrrell,3/5/2024,,
NC,Union,3/5/2024,,
NC,Vance,3/5/2024,,
NC,Wake,3/5/2024,,
NC,Warren,3/5/2024,,
NC,Washington,3/5/2024,,
NC,Watauga,3/5/2024,,
NC,Wayne,3/5/2024,,
NC,Wilkes,3/5/2024,,
NC,Wilson,3/5/2024,,
NC,Yadkin,3/5/2024,,
NC,Yancey,3/5/2024,,
NM,Carlsbad,3/5/2024,,
FL,Belleair Shore,3/19/2024,,
FL,Pinellas,,,
WI,Merrill,2/20/2024,,
WI,Ozaukee,2/20/2024,,
WI,Rosholt,2/20/2024,,
WI,Lancaster,2/20/2024,,
WI,Bristol,2/20/2024,,
WI,Hillsboro,2/20/2024,,
WI,Rosendale,2/20/2024,,
WI,Trevor-Wilmot,2/20/2024,,
WI,Outagamie,2/20/2024,,
WI,Seymor,,,
WI,Appleton,,,
WI,Grand Chute,,,
WI,Greenville,,,
WI,Kaukauna,,,
